loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
19,2.0, Graduate, No,2700000.0,10300000,10.0,736,1000000,0,6200000,3300000, Approved
20,5.0, Graduate, No,6300000.0,14600000,12.0,652,10300000,3500000,23500000,5900000, Approved
21,2.0, Graduate, No,5000000.0,19400000,12.0,315,9500000,1600000,18000000,6100000, Rejected
22,4.0, Graduate, No,5800000.0,14000000,16.0,530,3800000,11300000,22200000,5400000, Rejected
23,4.0, Graduate, Yes,6500000.0,25700000,18.0,311,13100000,1700000,19500000,8500000, Rejected
24,0.0, Not Graduate, Yes,500000.0,1400000,2.0,551,900000,600000,1100000,300000, Approved
25,0.0, Not Graduate, No,4900000.0,9800000,16.0,324,3800000,8700000,10000000,3300000, Rejected
26,5.0, Not Graduate, No,3100000.0,9500000,20.0,514,7900000,3100000,6600000,2600000, Rejected
27,4.0, Graduate, No,8200000.0,28100000,12.0,696,11500000,10600000,25300000,7200000, Approved
28,4.0, Not Graduate, Yes,2400000.0,5600000,4.0,662,4500000,4200000,5400000,2500000, Approved
29,5.0, Not Graduate, Yes,7000000.0,24000000,6.0,336,2300000,11900000,27500000,9700000, Rejected
30,3.0, Not Graduate, Yes,9000000.0,31500000,10.0,850,21800000,12400000,33700000,8000000, Approved
31,2.0, Not Graduate, No,9800000.0,25300000,12.0,313,20200000,5200000,25500000,9300000, Rejected
32,2.0, Graduate, No,5700000.0,12000000,6.0,363,3600000,7400000,21700000,4300000, Rejected
33,1.0, Not Graduate, Yes,800000.0,1600000,10.0,436,700000,200000,2200000,1000000, Rejected
34,, Not Graduate, Yes,8400000.0,22000000,2.0,830,3800000,3900000,19900000,5400000, Approved
35,3.0, Graduate, No,4900000.0,11900000,8.0,612,9700000,1200000,19000000,5800000, Approved
36,2.0, Graduate, Yes,1700000.0,3400000,8.0,691,2700000,2800000,6000000,900000, Approved
37,3.0, Not Graduate, No,1600000.0,6200000,18.0,636,3400000,700000,5300000,1400000, Approved
38,5.0, Graduate, Yes,8000000.0,27200000,6.0,348,6400000,300000,16700000,7100000, Rejected
39,5.0,, No,3600000.0,7700000,16.0,830,7000000,1300000,10000000,2900000, Approved
40,3.0, Not Graduate, Yes,1500000.0,5100000,6.0,352,100000,200000,5600000,900000, Rejected
41,1.0, Graduate, No,7800000.0,18100000,2.0,712,8600000,11200000,21700000,9000000, Approved
42,2.0, Not Graduate, No,9100000.0,24900000,16.0,822,22300000,12100000,31000000,5200000, Approved
43,3.0, Graduate, No,1400000.0,3400000,6.0,540,200000,1500000,3900000,800000, Rejected
44,2.0, Graduate, Yes,800000.0,2300000,12.0,342,2200000,1300000,1800000,800000, Rejected
45,5.0, Graduate, No,,13400000,18.0,787,18200000,300000,16200000,5400000, Approved
46,4.0, Graduate, No,8000000.0,27800000,16.0,331,13000000,6300000,21400000,10900000, Rejected
47,3.0, Not Graduate, Yes,4200000.0,14600000,6.0,679,2400000,6900000,8700000,4900000, Approved
48,1.0, Graduate, Yes,4900000.0,19100000,14.0,677,5400000,9100000,17700000,6500000, Approved
49,3.0, Not Graduate, No,5500000.0,20500000,12.0,634,800000,8600000,18500000,8200000, Approved
50,1.0, Not Graduate, Yes,9500000.0,19100000,16.0,662,100000,10500000,37700000,11700000, Approved
51,4.0, Graduate, No,7300000.0,25400000,16.0,502,500000,1800000,20500000,10500000, Rejected
52,2.0, Graduate, No,8700000.0,24700000,10.0,435,6800000,3500000,21800000,11300000, Rejected
53,5.0, Not Graduate, No,3800000.0,7600000,4.0,689,8700000,100000,9300000,3400000, Approved
54,1.0, Not Graduate, Yes,8400000.0,23000000,12.0,657,15400000,14800000,31900000,8200000, Approved
55,2.0, Graduate, Yes,5100000.0,19700000,20.0,590,7400000,9300000,19400000,3400000, Approved
56,5.0, Not Graduate, No,6700000.0,24500000,12.0,818,1200000,5600000,16300000,6200000, Approved
57,2.0, Not Graduate, No,4300000.0,10600000,18.0,431,2100000,1500000,9300000,5200000, Rejected
58,5.0, Graduate, Yes,9300000.0,30500000,18.0,841,19300000,10300000,34600000,8700000, Approved
59,1.0, Graduate, No,7400000.0,18400000,20.0,421,18500000,9100000,17500000,4100000, Rejected
60,4.0, Not Graduate, Yes,5500000.0,18200000,16.0,797,-100000,4900000,18600000,4800000, Approved
61,2.0, Not Graduate, No,8500000.0,18900000,18.0,478,23800000,16300000,25900000,11400000, Rejected
62,3.0, Not Graduate, Yes,9600000.0,30500000,18.0,669,4700000,1900000,26500000,9300000, Approved
63,5.0, Not Graduate, Yes,8800000.0,28900000,6.0,365,24400000,8600000,27400000,4700000, Rejected
64,3.0,, Yes,3300000.0,7500000,20.0,586,1600000,5600000,10500000,2900000, Approved
65,4.0, Graduate, Yes,3900000.0,12300000,18.0,784,7600000,6900000,13100000,2800000, Approved
66,1.0, Graduate, No,4100000.0,10300000,12.0,364,9500000,6100000,14900000,2800000, Rejected
67,3.0, Not Graduate, No,8300000.0,29100000,10.0,715,6100000,11900000,24100000,11900000, Approved
68,0.0, Not Graduate, Yes,2700000.0,10100000,20.0,693,200000,1700000,5900000,1400000, Rejected
69,4.0, Graduate, No,5600000.0,12400000,4.0,777,5500000,3100000,11800000,5500000, Approved
70,0.0, Graduate, No,1900000.0,5000000,12.0,312,4000000,2800000,4900000,2400000, Rejected
71,4.0, Not Graduate, Yes,500000.0,1500000,,340,100000,200000,1900000,600000, Rejected
72,5.0, Graduate, Yes,5300000.0,18600000,4.0,386,2700000,9700000,11900000,4200000, Approved
73,5.0, Not Graduate, No,7000000.0,18300000,4.0,418,18400000,11700000,21500000,7600000, Rejected
74,3.0, Not Graduate, Yes,5800000.0,16700000,16.0,735,3900000,9400000,12600000,5600000, Approved
75,2.0, Not Graduate, No,2600000.0,8400000,6.0,494,6500000,3800000,5600000,2000000, Rejected
76,2.0, Not Graduate, No,1900000.0,6500000,18.0,671,600000,2500000,4800000,1100000, Approved
77,4.0, Graduate, No,5700000.0,14800000,16.0,697,14300000,7800000,12900000,6300000, Approved
78,0.0, Graduate, No,9000000.0,33500000,8.0,801,11600000,8900000,35400000,11100000, Approved
79,2.0, Not Graduate, No,8500000.0,29400000,12.0,576,17600000,5600000,25200000,9000000, Approved
80,0.0, Not Graduate, No,700000.0,1400000,14.0,639,1900000,700000,2400000,900000, Approved
81,4.0, Graduate, No,3500000.0,8900000,4.0,470,1300000,2200000,12300000,2000000, Rejected
82,0.0, Not Graduate, No,8800000.0,31200000,4.0,826,2900000,500000,33300000,8600000, Approved
83,2.0, Not Graduate, Yes,9900000.0,21200000,16.0,363,25500000,11400000,26600000,6800000, Rejected
84,3.0, Graduate, No,3600000.0,8600000,20.0,613,9400000,300000,10300000,3300000, Approved
85,3.0, Not Graduate, Yes,3000000.0,8200000,16.0,713,5300000,5800000,11000000,3400000, Approved
86,2.0, Graduate, No,6800000.0,21200000,16.0,439,17100000,4700000,23300000,3600000, Rejected
87,5.0, Not Graduate, Yes,1100000.0,3800000,18.0,387,1300000,1200000,3800000,1600000, Rejected
88,1.0, Not Graduate, Yes,8700000.0,28300000,8.0,402,20400000,13600000,27900000,10200000, Rejected
89,4.0, Graduate, Yes,2000000.0,8000000,6.0,837,5100000,2600000,3900000,2900000, Approved
90,2.0, Not Graduate, No,9800000.0,37600000,10.0,641,24100000,0,23400000,7600000, Approved
91,4.0, Graduate, No,5700000.0,21100000,18.0,489,500000,4300000,12500000,6000000, Rejected
92,4.0, Graduate, No,8800000.0,20700000,18.0,540,19200000,3200000,22400000,12700000, Rejected
93,4.0, Graduate, No,3800000.0,8900000,4.0,844,9100000,3500000,13100000,4700000, Approved
94,1.0, Graduate, No,1700000.0,6400000,10.0,452,900000,1100000,5600000,2100000, Rejected
95,2.0, Graduate, No,1000000.0,2000000,10.0,366,1200000,400000,3200000,1300000, Rejected
96,5.0, Graduate, No,300000.0,1100000,2.0,300,100000,500000,700000,400000, Approved
97,2.0, Graduate, Yes,6600000.0,15000000,18.0,470,1200000,4800000,18200000,7000000, Rejected
98,2.0, Not Graduate, No,8700000.0,25000000,20.0,861,14700000,8500000,23200000,7300000, Approved
99,4.0, Graduate, No,9400000.0,29400000,12.0,562,25900000,15200000,36400000,7100000, Approved
100,0.0, Graduate, No,4400000.0,10800000,14.0,463,2400000,4800000,13800000,4700000, Rejected
101,4.0, Not Graduate, No,400000.0,900000,12.0,478,700000,100000,1200000,100000, Rejected
102,2.0, Not Graduate, Yes,300000.0,1100000,2.0,702,300000,200000,500000,200000, Approved
103,2.0, Not Graduate, Yes,4300000.0,12900000,20.0,618,11400000,3600000,11400000,2400000, Approved
104,4.0, Graduate, No,1600000.0,4500000,12.0,633,700000,1700000,4100000,1900000, Approved
105,5.0, Not Graduate, Yes,6200000.0,23600000,10.0,331,18500000,10300000,23800000,8700000, Rejected
106,3.0, Not Graduate, Yes,4200000.0,9700000,16.0,841,7800000,300000,16700000,5100000, Approved
107,4.0, Not Graduate, Yes,9000000.0,18100000,12.0,764,600000,16500000,20800000,11600000, Approved
108,0.0, Graduate, No,2700000.0,10600000,6.0,591,1300000,2700000,9900000,1800000, Approved
109,1.0, Graduate, Yes,9700000.0,35900000,2.0,719,19600000,7600000,20400000,10900000, Approved
110,2.0, Graduate, No,3300000.0,6800000,14.0,317,3400000,300000,11700000,3600000, Rejected
111,0.0, Not Graduate, No,300000.0,1100000,8.0,778,800000,200000,900000,100000, Approved
112,3.0, Graduate, Yes,7400000.0,18200000,14.0,302,5600000,3100000,17900000,5000000, Rejected
113,5.0, Not Graduate, No,7100000.0,19700000,8.0,502,7300000,5600000,25300000,9800000, Rejected
114,5.0, Not Graduate, Yes,7300000.0,22100000,18.0,879,19500000,10600000,19300000,9800000, Approved
115,1.0, Not Graduate, No,8400000.0,23400000,14.0,437,15400000,5800000,33400000,8100000, Rejected
116,0.0, Not Graduate, Yes,3300000.0,10800000,12.0,797,600000,6000000,7700000,3300000, Approved
117,4.0, Not Graduate, Yes,5800000.0,23200000,18.0,456,16100000,4200000,22600000,7500000, Rejected
118,0.0,, No,600000.0,1600000,6.0,647,1500000,600000,1500000,700000, Approved
119,0.0, Not Graduate, No,7200000.0,15800000,12.0,379,12700000,12200000,21500000,3600000, Rejected
120,1.0, Not Graduate, Yes,9100000.0,32900000,2.0,717,2200000,2000000,23600000,5900000, Approved
121,5.0, Graduate, No,900000.0,2300000,16.0,545,100000,200000,2700000,800000, Rejected
122,2.0, Graduate, No,800000.0,3200000,8.0,317,300000,1000000,2000000,900000, Rejected
123,1.0, Not Graduate, No,8500000.0,32900000,10.0,570,5100000,6200000,20500000,5500000, Approved
124,0.0, Not Graduate, Yes,9000000.0,18700000,18.0,865,26800000,0,20900000,11300000, Approved
125,3.0, Graduate, No,7000000.0,19500000,14.0,719,12200000,10300000,18200000,10200000, Approved
126,3.0, Graduate, No,200000.0,600000,16.0,821,400000,100000,500000,100000, Approved
127,4.0, Not Graduate, Yes,400000.0,800000,10.0,859,900000,500000,800000,200000, Approved
128,3.0, Not Graduate, No,5100000.0,18200000,10.0,395,100000,8000000,15500000,6300000, Rejected
129,2.0, Not Graduate, Yes,700000.0,2600000,12.0,429,1600000,1300000,2700000,800000, Rejected
130,3.0, Graduate, No,400000.0,1200000,12.0,861,200000,600000,1100000,200000, Approved
131,0.0, Not Graduate, Yes,9500000.0,20800000,14.0,565,15100000,11900000,33900000,13400000, Approved
132,5.0, Graduate, No,8800000.0,22600000,10.0,357,7900000,8600000,18200000,4900000, Rejected
133,3.0, Not Graduate, Yes,1800000.0,3600000,18.0,465,600000,500000,5400000,2600000, Rejected
134,4.0, Not Graduate, Yes,6800000.0,13900000,8.0,479,11700000,9100000,25700000,9600000, Rejected
135,3.0, Not Graduate, No,1500000.0,5500000,16.0,717,2100000,800000,4400000,1300000, Approved
136,3.0, Graduate, No,1600000.0,5500000,12.0,425,600000,800000,5400000,900000, Rejected
137,2.0, Not Graduate, No,4600000.0,16700000,2.0,786,200000,5900000,13900000,6100000, Approved
138,5.0, Not Graduate, Yes,2200000.0,6700000,6.0,382,4400000,1300000,8600000,1100000, Rejected
139,3.0, Not Graduate, Yes,2900000.0,8500000,12.0,564,1000000,3100000,7500000,1800000, Approved
140,0.0, Graduate, No,200000.0,700000,8.0,501,500000,200000,700000,100000, Rejected
141,2.0, Not Graduate, Yes,2500000.0,9400000,10.0,727,6600000,4100000,9500000,3300000, Approved
142,4.0, Not Graduate, No,3600000.0,7500000,6.0,894,1100000,6500000,7400000,2800000, Approved
143,0.0, Graduate, Yes,5500000.0,16700000,18.0,829,5500000,1300000,12800000,5900000, Approved
144,4.0, Not Graduate, No,6600000.0,17400000,20.0,506,2600000,10000000,25900000,7200000, Rejected
145,2.0, Graduate, Yes,8600000.0,32100000,6.0,802,9400000,16700000,24500000,9800000, Approved
146,5.0, Not Graduate, No,600000.0,1500000,14.0,543,300000,900000,2100000,300000, Rejected
147,3.0, Graduate, Yes,1400000.0,3200000,20.0,772,2400000,900000,5100000,1600000, Approved
148,3.0, Graduate, No,4000000.0,11100000,12.0,572,9700000,100000,12500000,2400000, Approved
149,0.0, Not Graduate, Yes,4900000.0,11900000,16.0,709,14600000,900000,18500000,3800000, Approved
150,5.0, Graduate, No,2000000.0,6200000,18.0,402,4000000,2100000,7200000,1100000, Rejected
151,1.0, Not Graduate, Yes,5200000.0,19300000,8.0,481,14300000,9500000,18800000,4200000, Rejected
152,5.0, Graduate, Yes,8900000.0,28800000,6.0,772,13600000,5500000,20400000,8400000, Approved
153,1.0, Graduate, Yes,6500000.0,20600000,2.0,306,15900000,1900000,18100000,3200000, Approved
154,2.0, Not Graduate, No,1300000.0,4500000,6.0,415,0,900000,2900000,1200000, Rejected
155,3.0, Not Graduate, No,9400000.0,35000000,16.0,548,18200000,4400000,36100000,4800000, Rejected
156,5.0, Not Graduate, No,5000000.0,11200000,8.0,701,9100000,500000,14000000,4600000, Approved
157,2.0, Graduate, No,3000000.0,7700000,12.0,890,4700000,4300000,8400000,2100000, Approved
158,5.0, Not Graduate, Yes,9900000.0,33300000,6.0,364,5300000,18700000,27800000,8300000, Rejected
159,5.0, Graduate, Yes,700000.0,1300000,20.0,704,1600000,0,2200000,600000, Approved
160,3.0, Graduate, Yes,4000000.0,10600000,10.0,318,1500000,5100000,8000000,4900000, Rejected
161,5.0, Not Graduate, No,3100000.0,9600000,2.0,761,5800000,1800000,10400000,4200000, Approved
162,4.0, Not Graduate, No,4500000.0,15100000,6.0,693,3700000,1500000,17800000,6000000, Approved
163,3.0, Not Graduate, No,9700000.0,20600000,16.0,524,24200000,11100000,27400000,6100000, Rejected
164,2.0, Not Graduate, Yes,2000000.0,5300000,10.0,681,4900000,1400000,4300000,2900000, Approved
165,2.0, Graduate, Yes,8100000.0,22300000,18.0,737,22300000,12600000,27000000,7300000, Approved
166,0.0, Not Graduate, No,5700000.0,15900000,16.0,638,100000,9500000,16300000,4500000, Approved
167,4.0, Not Graduate, No,5800000.0,12800000,2.0,656,500000,5000000,16000000,2800000, Approved
168,1.0, Graduate, No,1800000.0,6500000,6.0,540,2500000,3200000,5000000,1100000, Rejected
169,4.0, Not Graduate, Yes,9100000.0,35200000,6.0,341,1000000,300000,23100000,8200000, Rejected
170,0.0, Not Graduate, Yes,4800000.0,17500000,2.0,371,11700000,6800000,18700000,3500000, Approved
171,3.0, Not Graduate, Yes,3800000.0,10500000,12.0,886,4000000,500000,14900000,2300000, Approved
172,0.0, Not Graduate, No,1900000.0,4100000,18.0,801,400000,800000,4800000,1200000, Approved
173,3.0, Not Graduate, Yes,3600000.0,9500000,16.0,748,7700000,2400000,9700000,2600000, Approved
174,2.0, Not Graduate, Yes,7400000.0,28200000,8.0,376,21900000,5000000,17400000,5200000, Rejected
175,4.0, Not Graduate, Yes,6600000.0,14300000,8.0,371,10800000,9500000,18500000,7400000, Rejected
176,2.0, Graduate, No,1800000.0,5300000,6.0,826,4500000,700000,6500000,1300000, Approved
177,4.0, Not Graduate, No,9200000.0,27200000,12.0,873,4500000,1800000,33800000,11400000, Approved
178,5.0, Not Graduate, Yes,2400000.0,8600000,8.0,309,500000,600000,5700000,2800000, Rejected
179,4.0, Not Graduate, No,5600000.0,13300000,20.0,869,3300000,7500000,20000000,6500000, Approved
180,5.0, Graduate, No,3800000.0,13900000,12.0,534,4700000,2900000,8200000,2800000, Rejected
181,3.0, Not Graduate, Yes,4500000.0,17900000,6.0,787,9800000,3600000,14300000,4200000, Approved
182,0.0, Graduate, Yes,900000.0,2200000,16.0,566,100000,700000,2000000,600000, Approved
183,0.0, Not Graduate, No,2800000.0,9900000,8.0,742,4900000,1300000,6700000,1700000, Approved
184,2.0, Not Graduate, No,7500000.0,23100000,4.0,824,12100000,10900000,26300000,9500000, Approved
185,4.0, Graduate, No,1400000.0,3100000,14.0,575,3000000,2100000,4900000,1400000, Approved
186,2.0, Graduate, Yes,3800000.0,10900000,10.0,766,1900000,3900000,8600000,3000000, Approved
187,1.0, Not Graduate, Yes,1700000.0,5000000,10.0,888,2900000,900000,4100000,2200000, Approved
188,3.0, Graduate, Yes,9000000.0,30400000,6.0,638,16800000,11000000,26900000,9200000, Approved
189,5.0, Not Graduate, Yes,7300000.0,23300000,6.0,622,7100000,11600000,26400000,10500000, Approved
190,1.0, Not Graduate, No,7400000.0,19800000,18.0,458,12600000,6200000,27700000,4000000, Rejected
191,1.0, Not Graduate, No,9000000.0,28200000,16.0,327,1700000,2300000,24000000,11200000, Rejected
192,0.0, Not Graduate, No,3000000.0,6500000,2.0,612,8800000,3400000,6700000,1700000, Approved
193,1.0, Graduate, No,800000.0,2900000,8.0,682,2200000,1100000,2900000,700000, Approved
194,2.0, Graduate, No,4800000.0,13200000,2.0,583,13700000,5800000,9500000,5200000, Approved
195,5.0, Not Graduate, No,6400000.0,18300000,8.0,697,10000000,3600000,22500000,3600000, Approved
196,3.0, Graduate, No,9200000.0,27100000,12.0,306,5800000,11500000,28000000,9600000, Rejected
197,4.0, Not Graduate, Yes,400000.0,1500000,2.0,669,-100000,600000,900000,500000, Approved
198,2.0, Not Graduate, No,2800000.0,6000000,18.0,816,6300000,4200000,8000000,3400000, Approved
199,4.0, Not Graduate, Yes,8500000.0,28900000,20.0,455,15200000,5800000,22500000,9400000, Rejected
200,3.0, Graduate, Yes,4700000.0,16400000,10.0,318,11400000,8100000,16200000,4300000, Rejected
201,4.0, Not Graduate, Yes,9800000.0,21200000,20.0,355,22000000,8900000,31800000,14400000, Rejected
202,2.0, Not Graduate, Yes,3800000.0,8900000,16.0,389,200000,5600000,12200000,2200000, Rejected
203,2.0, Graduate, No,500000.0,1500000,2.0,888,1500000,300000,1500000,600000, Approved
204,2.0, Graduate, Yes,6900000.0,15600000,6.0,352,13000000,5300000,22600000,10000000, Rejected
205,4.0, Not Graduate, Yes,9600000.0,30100000,12.0,870,300000,6700000,38200000,5600000, Approved
206,3.0, Not Graduate, No,2900000.0,6500000,18.0,827,8300000,600000,10400000,3200000, Approved
207,2.0, Graduate, No,9800000.0,20900000,12.0,768,3400000,10200000,38600000,13400000, Approved
208,0.0, Graduate, No,7100000.0,15400000,18.0,707,10300000,10800000,19600000,5800000, Approved
209,1.0, Not Graduate, Yes,7700000.0,19100000,10.0,355,11300000,4900000,21900000,6600000, Rejected
210,3.0, Graduate, No,1400000.0,3300000,2.0,652,100000,2100000,3500000,1900000, Approved
211,3.0, Graduate, No,7800000.0,15900000,2.0,665,14400000,900000,27200000,5400000, Approved
212,5.0, Not Graduate, Yes,1700000.0,6000000,18.0,420,500000,1600000,3700000,2300000, Rejected
213,2.0, Not Graduate, No,8500000.0,32700000,18.0,471,12600000,9400000,33900000,12500000, Rejected
214,5.0, Not Graduate, No,1900000.0,7500000,20.0,715,5100000,2800000,6500000,2800000, Approved
215,2.0, Not Graduate, Yes,6700000.0,15200000,10.0,689,0,8200000,15000000,6800000, Approved
216,3.0, Graduate, Yes,6900000.0,16400000,4.0,787,11100000,6100000,26400000,3800000, Approved
217,2.0, Graduate, No,2600000.0,7800000,4.0,819,3100000,4300000,5700000,1500000, Approved
218,4.0, Graduate, Yes,9600000.0,21100000,6.0,809,16100000,9500000,34700000,8700000, Approved
219,1.0, Not Graduate, Yes,6800000.0,17000000,2.0,744,15500000,3900000,23700000,3500000, Approved
220,0.0, Not Graduate, No,3200000.0,11300000,6.0,484,3500000,5500000,8500000,2100000, Rejected
221,4.0, Not Graduate, No,2900000.0,10400000,6.0,673,5100000,1700000,10600000,1700000, Approved
222,3.0, Graduate, Yes,7900000.0,21200000,18.0,695,13800000,10600000,21800000,4900000, Approved
223,4.0, Not Graduate, Yes,3900000.0,12400000,12.0,473,6400000,4700000,13100000,3800000, Rejected
224,4.0, Graduate, Yes,4600000.0,11000000,2.0,491,9000000,4000000,16100000,3500000, Rejected
225,3.0, Not Graduate, Yes,700000.0,1700000,8.0,733,1200000,800000,2400000,500000, Approved
226,0.0, Not Graduate, No,5200000.0,15600000,20.0,434,14100000,5800000,18100000,5500000, Rejected
227,3.0, Not Graduate, Yes,5900000.0,20600000,10.0,777,1900000,4600000,21200000,6400000, Approved
228,4.0, Graduate, No,7200000.0,19100000,4.0,774,9400000,7000000,17900000,3600000, Approved
229,1.0, Not Graduate, Yes,8700000.0,27000000,10.0,717,25500000,8600000,17500000,9100000, Approved
230,3.0, Not Graduate, Yes,1100000.0,3500000,12.0,503,3000000,400000,2200000,1200000, Rejected
231,1.0, Graduate, Yes,4000000.0,10900000,14.0,598,3600000,6600000,13600000,4400000, Approved
232,2.0, Graduate, No,9800000.0,32400000,2.0,543,24200000,17500000,25700000,7700000, Approved
233,0.0, Not Graduate, Yes,2700000.0,6800000,20.0,796,700000,4200000,7000000,1900000, Approved
234,3.0, Not Graduate, Yes,8800000.0,34600000,8.0,386,14800000,16500000,18400000,6000000, Rejected
235,5.0, Not Graduate, Yes,3300000.0,7800000,16.0,632,8500000,500000,7100000,4900000, Approved
236,1.0, Graduate, Yes,6900000.0,23400000,4.0,481,18700000,1100000,23400000,10200000, Approved
237,3.0, Graduate, Yes,900000.0,3500000,4.0,770,700000,0,2000000,600000, Rejected
238,3.0, Graduate, Yes,4100000.0,15500000,6.0,667,2800000,1600000,14700000,4000000, Approved
239,3.0, Not Graduate, Yes,4700000.0,17500000,8.0,585,1200000,3100000,9600000,4900000, Approved
240,5.0, Graduate, Yes,3400000.0,11600000,16.0,479,9200000,5700000,11200000,2400000, Rejected
241,2.0, Graduate, No,9600000.0,22500000,18.0,851,7400000,16200000,24300000,12700000, Approved
242,3.0, Not Graduate, Yes,7000000.0,16200000,6.0,378,20000000,12600000,20300000,5500000, Rejected
243,5.0, Graduate, No,5700000.0,12900000,18.0,807,4100000,900000,18600000,5500000, Approved
244,1.0, Not Graduate, Yes,8200000.0,32400000,18.0,831,22800000,12300000,17700000,7800000, Approved
245,2.0, Not Graduate, No,2100000.0,5100000,12.0,674,2200000,3200000,6400000,2400000, Approved
246,1.0, Not Graduate, Yes,8000000.0,28100000,18.0,725,1900000,12800000,23000000,7500000, Approved
247,2.0, Not Graduate, No,8000000.0,29300000,4.0,600,16500000,13200000,29400000,6500000, Approved
248,0.0, Not Graduate, Yes,9400000.0,27000000,10.0,536,4400000,1700000,33800000,4800000, Rejected
249,0.0, Graduate, No,8400000.0,20600000,10.0,477,1500000,1500000,25000000,11900000, Rejected
250,1.0, Not Graduate, Yes,1900000.0,5000000,6.0,560,1000000,1900000,6300000,1400000, Approved
251,0.0, Not Graduate, Yes,4200000.0,16400000,20.0,539,9500000,2100000,11400000,3100000, Rejected
252,5.0, Graduate, No,2600000.0,9100000,8.0,852,3700000,700000,10300000,3300000, Approved
253,3.0, Not Graduate, No,3700000.0,8500000,20.0,853,8300000,5700000,7500000,4900000, Approved
254,0.0, Graduate, No,8800000.0,30900000,12.0,729,1700000,700000,25700000,11400000, Approved
255,2.0, Not Graduate, No,2100000.0,4700000,2.0,546,6000000,3200000,5700000,1500000, Rejected
256,3.0, Graduate, Yes,900000.0,2400000,10.0,489,800000,0,2800000,500000, Rejected
257,3.0, Graduate, Yes,9800000.0,35400000,6.0,869,14400000,16400000,22800000,10300000, Approved
258,2.0, Not Graduate, No,8000000.0,20000000,2.0,502,4100000,2200000,31600000,9900000, Rejected
259,0.0, Graduate, No,9800000.0,38800000,8.0,652,23200000,19000000,29700000,5400000, Approved
260,0.0, Not Graduate, Yes,300000.0,1100000,8.0,789,400000,100000,800000,400000, Approved
261,4.0, Not Graduate, No,2700000.0,8100000,4.0,325,5000000,800000,9900000,3400000, Approved
262,3.0, Graduate, Yes,7400000.0,19600000,2.0,716,4100000,8900000,29100000,4200000, Approved
263,3.0, Graduate, No,9200000.0,34300000,18.0,523,25600000,4000000,29100000,8800000, Rejected
264,5.0, Not Graduate, No,9500000.0,22200000,,352,24500000,0,30800000,7000000, Rejected
265,5.0, Graduate, Yes,3800000.0,14400000,2.0,345,3300000,800000,13000000,4700000, Approved
266,0.0, Graduate, No,8300000.0,19400000,18.0,649,2500000,16100000,24300000,11300000, Approved
267,2.0, Graduate, Yes,2800000.0,7400000,18.0,666,100000,2300000,6300000,3400000, Approved
268,0.0, Graduate, No,8600000.0,20900000,10.0,813,11300000,11900000,26000000,4800000, Approved
269,0.0, Not Graduate, No,5400000.0,16800000,10.0,599,5300000,7400000,14500000,7600000, Approved
270,5.0, Graduate, Yes,4200000.0,9400000,6.0,678,4700000,5500000,9900000,5700000, Approved
271,5.0, Not Graduate, No,5200000.0,12200000,20.0,513,13400000,2000000,16800000,5400000, Rejected
272,5.0, Graduate, No,,27900000,4.0,870,1100000,200000,29500000,10400000, Approved
273,3.0, Graduate, No,8800000.0,20400000,8.0,483,3200000,11400000,28200000,11800000, Rejected
